category,rating,name,phone,location,address
"French,Bakeries,Breakfast & Brunch",3.5,La Madeleine French Bakery & Cafe,(919) 873-0131,"35.8725596,-78.5827349","6320 Plantation Point Center Dr Raleigh, NC 27616"
"American (Traditional),Desserts,Bars",4.5,Chapman’s Food and Spirits,(910) 246-0497,"35.1739781426489,-79.3899246924517","157 E New Hampshire Ave Southern Pines, NC 28387"
"Sushi Bars,Thai,Vietnamese",4.5,Sticky Rice,(919) 554-8189,"35.9760781,-78.5409885","927 Durham Rd Wake Forest, NC 27587"
"Seafood,Live/Raw Food",4.0,The Full Moon Oyster Bar,(919) 378-9524,"35.8577724,-78.8203506","1600 Village Market Pl Morrisville, NC 27560"
American (New),4.0,Plates Neighborhood Kitchen,(919) 828-0018,"35.920935,-78.956415","301 Glenwood Ave Raleigh, NC 27603"
Indian,4.0,Biryani Pot,(919) 460-3339,"35.7896879,-78.675435","962 Airport Blvd Morrisville, NC 27560"
Japanese,4.5,Yamazushi Japanese Cuisine,(919) 493-7748,"35.901372,-78.896347","4711 Hope Valley Rd Durham, NC 27707"
"Burgers,Sandwiches,American (New)",4.5,Hangover Grill,(984) 200-1202,"35.9983603,-78.9068836","2908 Hillsborough St Raleigh, NC 27607"
"Thai,Salad,Soup",4.0,Thai 55,(919) 748-3051,"35.7855634,-78.647672","4716 Hwy 55 Durham, NC 27713"
"Southern,American (New)",4.0,Motto,(984) 219-1965,"35.7341853236678,-79.4276311911349","605 W Main St Durham, NC 27701"
"Seafood,Cocktail Bars",5.0,The Cortez,(919) 342-8227,"35.311361458807,-79.0412117913365","413 Glenwood Ave Raleigh, NC 27603"
"Barbeque,Fast Food,Sandwiches",4.5,Smithfield’s Chicken ‘N Bar-B-Q,(919) 663-4333,"35.8066627,-78.8158263","14215 US 64 Siler City, NC 27344"
Mexican,4.5,El Burrito Mexican Restaurant,(919) 499-4134,"precise_search_35.7174966,-79.1788772","1671 Buffalo Lake Rd Sanford, NC 27332"
Italian,4.0,Antonia’s,(919) 643-7722,"36.093068,-79.435614","101 N Churton St Hillsborough, NC 27278"
"Wine Bars,Cocktail Bars,Tapas/Small Plates",5.0,Redefinery & Co,(336) 260-5438,"35.6544684,-78.5887951","220 E Front St Burlington, NC 27215"
"Food Trucks,Indian",4.5,Curry In A Hurry Truck,(919) 606-4285,"35.9009777734782,-78.9611247731491","Garner, NC 27529 "
"American (New),Burgers,Beer Bar",4.0,Town Hall Burger and Beer,(919) 973-0506,"35.9106984,-79.062512","7830 Hwy Nc 751 Durham, NC 27713"
American (New),4.0,Elaine’s On Franklin,(919) 960-2770,"35.7904985,-78.6586216","454 W Franklin St Chapel Hill, NC 27514"
"Pizza,American (New),Bars",4.5,Tazza Kitchen Cameron Village,(919) 835-9463,"35.8650954206401,-78.6191403403193","432 Woodburn Rd Raleigh, NC 27605"
"Seafood,Tex-Mex,Mexican",4.5,Salt & Lime Cabo Grill,(919) 872-2230,"35.9034513,-78.9431065","6006 Falls Of Neuse Rd Raleigh, NC 27609"
"Sandwiches,Food Trucks",4.5,Porchetta,(919) 607-7419,"35.9622851653238,-79.0541910007596","6910 Fayetteville Rd Durham, NC 27713"
"Pizza,Italian",4.5,Magone Italian Grill & Pizza,(919) 904-7393,"35.7895046,-78.6626921","1129 Weaver Dairy Rd Chapel Hill, NC 27514"
"Caribbean,Latin American,Desserts",4.0,soca raleigh,(919) 322-0440,"precise_search_35.7174966,-79.1788772","2130 Clark Ave Raleigh, NC 27605"
Peruvian,4.5,Mami Nora’s,(919) 834-8572,"36.0757432995603,-79.4886287301779","2401 Wake Forest Rd Raleigh, NC 27608"
"Italian,Desserts,Bars",4.0,Prego’s Trattoria,(336) 586-0292,"35.8136887,-78.6270682","2740 South Church St Burlington, NC 27215"
"Seafood,American (Traditional)",4.0,Saratoga Grill,(919) 732-2214,"36.0803553,-79.4844129","108 S Churton St Hillsborough, NC 27278"
"Italian,Pizza,Salad",4.0,Elizabeth’s Pizza,(919) 545-9292,"36.0750611,-79.0996298","160 Hillsboro St Pittsboro, NC 27312"
"Colombian,Cafes",4.5,Colombian Cravings,(336) 270-4255,"35.722562,-79.176728","404 Huffman Mill Rd Burlington, NC 27215"
"Cantonese,Asian Fusion,Szechuan",4.0,Banana Leaf,(919) 468-9958,"35.7766290112274,-78.7677232931152","1026 Ryan Rd Cary, NC 27511"
"Coffee & Tea,Sandwiches,Salad",3.5,The Goat at Fearrington Village,(919) 545-5717,"35.800665,-79.091785","240 Market St Pittsboro, NC 27312"
"Italian,Caterers",4.0,Daniel’s Restaurant & Catering,(919) 303-1006,"35.7524767600721,-78.876610994339","1430 Hwy 55 Apex, NC 27523"
Cafes,4.0,Olio & Aceto Cafe,(919) 903-8958,"precise_search_35.7174966,-79.1788772","400 S Elliott Rd Chapel Hill, NC 27514"
"Mongolian,Asian Fusion,Barbeque",4.0,Ms. Mong,(919) 933-5277,"35.9140577413184,-79.0536218913998","163 E Franklin St Chapel Hill, NC 27514"
Barbeque,4.5,City Barbeque,(919) 258-2009,"35.478628,-79.1824139","110 Cabela Dr Garner, NC 27529"
Vietnamese,4.0,Pho and Poke House,(919) 382-0805,"35.776794,-78.643785","2816 Erwin Rd Durham, NC 27705"
Barbeque,4.5,Charlie’s BBQ & Grille,(919) 934-0093,"35.9927286,-78.9039695","8948 Cleveland Rd Clayton, NC 27520"
"Bagels,Delis,Sandwiches",4.5,Big Steve’s Bagel’s,(919) 989-8006,"36.0976906,-79.2689667","12330 Nc Hwy 210 Benson, NC 27504"
"Caterers,Cafes",4.0,Mrs Lacy’s Magnolia House,(919) 777-6787,"35.721547,-79.1773973","405 Carthage St Sanford, NC 27330"
"American (Traditional),Beer Bar,Breakfast & Brunch",4.0,Parkside,(984) 232-8969,"35.1740276,-79.3904349","301 W Martin St Raleigh, NC 27601"
"Beer Bar,American (Traditional)",4.0,The Bullpen,(919) 744-3630,"35.5665624,-78.5279991","359 Blackwell St Durham, NC 27701"
"Cafes,Salad,Sandwiches",4.5,Karma On Third,(919) 563-1939,"precise_search_35.7174966,-79.1788772","200 N 3rd St Mebane, NC 27302"
"Bars,Sandwiches,American (New)",3.5,The City Tap,(919) 545-0562,"35.6978273,-78.5827699","89 Hillsboro St Pittsboro, NC 27312"
"American (New),Southern,Pubs",4.5,Ashten’s,(910) 246-3510,"36.0066659024814,-78.9477927982807","140 E New Hampshire Ave Southern Pines, NC 28387"
"American (Traditional),Barbeque",4.0,The Blue Note Grill,(919) 401-1979,"36.071022,-79.4930455","709 Washington St Durham, NC 27701"
Steakhouses,4.0,Grill 584,(336) 584-0479,"35.9331574,-79.0280479","710 Huffman Mill Rd Burlington, NC 27215"
"Vegan,Juice Bars & Smoothies,Live/Raw Food",4.5,Living Kitchen,(919) 535-9191,"35.7196239,-79.178169","201 S Elliott Rd Chapel Hill, NC 27514"
"Sandwiches,Bars,Pizza",3.5,The Modern Life Deli & Drinks,(919) 533-6883,"36.0638475172135,-79.8231614490726","46 Sanford Rd Pittsboro, NC 27312"
"Bars,American (New)",4.5,Freeman’s Grub & Pub,(336) 333-3399,"35.9106968,-78.9349125","1820 Spring Garden St Greensboro, NC 27403"
"Mediterranean,Filipino",4.0,MediterrAsian Bistro,(919) 484-0505,"35.16603,-79.403671","105 W Nc Hwy 54 Durham, NC 27713"
"American (New),Desserts,Cocktail Bars",4.5,195 - American Fusion Cuisine,(910) 692-7110,"36.0638666,-79.8337709","195 Bell Ave Southern Pines, NC 28387"
"Burgers,Beer Bar,American (New)",4.5,Hops Burger Bar,(336) 235-2178,"35.4657011505135,-79.1512537747622","2419 Spring Garden St Greensboro, NC 27403"
"Salad,Soup,Sandwiches",4.5,Quick Bites,(919) 292-1690,"35.1677671,-78.9765293","1907 Bragg St Sanford, NC 27330"
"Thai,Asian Fusion",4.5,Geang’s Restaurant,(910) 960-3209,"precise_search_35.7174966,-79.1788772","126 N Main St Spring Lake, NC 28390"
"Greek,American (New),Mediterranean",4.5,Greek Basma,(919) 285-0808,"35.7732455,-78.6389584","7272 Gb Alford Hwy Holly Springs, NC 27540"
"Vegan,Vegetarian,Live/Raw Food",4.5,Living Kitchen,(919) 324-3515,"35.9962778,-78.903262","555 Fayetteville St Raleigh, NC 27601"
American (New),4.0,Dame’s Chicken & Waffles,(919) 682-9235,"35.6663088779572,-78.8445623222751","317 W Main St Durham, NC 27701"
"Bars,Mexican",4.0,Mi Cancun,(919) 552-9979,"35.776658,-78.636477","324 Grand Hill Pl Holly Springs, NC 27540"
"French,Bars,American (New)",4.5,Royale,(919) 977-3043,"35.7906993016469,-78.8273714678533","200 E Martin St Raleigh, NC 27601"
"Bakeries,French,Breakfast & Brunch",4.5,La Farm Bakery,(919) 657-0657,"35.7376734,-78.8642713","4248 NW Cary Pkwy Cary, NC 27513"
Thai,4.0,Baan Thai,(919) 629-6399,"35.870213,-78.622514","758 W Williams St Apex, NC 27502"
"American (Traditional),Breakfast & Brunch,Diners",4.0,Metro Diner,(919) 578-9053,"35.8306814,-78.8277628","6325 Falls Of Neuse Rd Raleigh, NC 27615"
Chinese,4.0,Szechuan Garden,(919) 468-6878,"35.849843,-78.839056","10285 Chapel Hill Rd Morrisville, NC 27560"
"Barbeque,Caterers",4.0,Smokey’s BBQ Shack,(919) 469-1724,"precise_search_35.7174966,-79.1788772","10800 Chapel Hill Rd Morrisville, NC 27560"
American (Traditional),4.0,Two Guys Grille,(919) 462-9336,"35.5927271,-78.7700698","4149 Davis Dr Morrisville, NC 27560"
"American (Traditional),Diners,Breakfast & Brunch",4.5,Elois’ Restaurant,(919) 837-5021,"35.606323,-78.5696509","290 Barker Rd Bear Creek, NC 27207"
Chinese,4.5,Zhang Garden,(919) 643-0000,"36.1342906799811,-78.756069661377","117 N Scotswood Blvd Hillsborough, NC 27278"
"Chinese,Japanese,Thai",4.0,Moon Asian Bistro,(919) 869-7894,"35.9628606888263,-78.9775799126892","111 Knox Way Chapel Hill, NC 27516"
"American (New),Breakfast & Brunch",4.0,Watts Grocery,(919) 416-5040,"36.016503,-78.918932","1116 Broad St Durham, NC 27705"
"Dominican,Sandwiches",4.5,Caribbean Delight,(919) 243-1618,"35.8363846718823,-78.8584285688781","11471 US 70 Bus Clayton, NC 27520"
Breakfast & Brunch,4.0,Eggs Up Grill,(919) 285-4463,"precise_search_35.7174966,-79.1788772","1436 N Main St Fuquay Varina, NC 27526"
"Coffee & Tea,Breakfast & Brunch,Sandwiches",4.5,Ugly Mug Bean and Brew,(919) 916-5277,"35.637543,-79.376786","51 Technology Dr Garner, NC 27529"
"Delis,Breakfast & Brunch,Sandwiches",5.0,Plumpeez Deli,(919) 529-2232,"36.083462,-79.0812231","106 E C St Butner, NC 27509"
Latin American,4.5,El Chapin,(919) 908-7975,"35.8360453,-79.0906494","4600 Durham-Chapel Hill Blvd Durham, NC 27707"
"Shopping,Soul Food",4.5,Bestfood Cafeteria,(919) 742-2475,"35.8204915,-79.0871699","220 E 11th St Siler City, NC 27344"
"Pizza,Italian,Sandwiches",4.5,Capp’s Pizzeria,(919) 240-4104,"35.775297,-78.638113","79 Falling Springs Dr Chapel Hill, NC 27516"
"Asian Fusion,Tapas/Small Plates",4.0,bu*ku: Global Street Food,(919) 834-6963,"35.7451587677395,-78.8838191835856","110 E Davie St Raleigh, NC 27601"
"Mediterranean,Greek,Delis",4.5,Sultan’s Deli,(919) 367-6007,"35.7746387,-78.6438103","1459 Beaver Creek Commons Dr Apex, NC 27502"
"Vegan,Vegetarian,Gluten-Free",4.5,The Fiction Kitchen,(919) 831-4177,"35.7208921,-78.8184653","428 S Dawson St Raleigh, NC 27601"
"Pizza,Italian",4.5,Sergio’s Pizza,(919) 303-1770,"36.009669,-78.920306","2127 Ten Ten Rd Apex, NC 27539"
"Chicken Wings,American (Traditional),Fast Food",4.5,Heavenly Buffaloes,(919) 237-2358,"35.2096413,-78.9491216","1807 W Markham Ave Durham, NC 27705"
"Butcher,Barbeque,Sandwiches",4.5,Noble Meats & Eatery,(910) 436-6022,"36.0583078278666,-78.9278764700599","2469 Lillington Hwy Spring Lake, NC 28390"
Thai,4.0,Thai Spoon,(919) 908-7539,"35.801077,-79.091276","3808 Guess Rd Durham, NC 27705"
"American (New),Breakfast & Brunch,Bars",3.0,The Fearrington Granary Restaurant,(919) 542-5505,"precise_search_35.7174966,-79.1788772","2000 Fearrington Village Ctr Pittsboro, NC 27312"
"Breakfast & Brunch,New Mexican Cuisine,American (Traditional)",4.0,Roots,(919) 240-7160,"35.9163349839055,-79.0961551088676","161 E Franklin St Chapel Hill, NC 27514"
Japanese,4.0,Sushi Nikko,(919) 240-5046,"36.0749779,-79.8140092","104 Nc 54 Carrboro, NC 27510"
Mexican,4.5,Bandito Bodega,(336) 897-7878,"35.770437,-78.783406","1609 Friendly Ave Greensboro, NC 27403"
"Hot Dogs,American (Traditional),Burgers",4.5,Corbett’s Burgers and Soda Bar,(919) 466-0055,"35.1687618575753,-79.4035594830173","126 Kilmayne Dr Cary, NC 27511"
Tacos,4.5,Habañero’s Taqueria,(910) 585-6994,"35.1758,-79.393986","207 W Morganton Rd Southern Pines, NC 28387"
Pizza,4.5,Etalia,(910) 692-7992,"35.9224036856924,-79.1858000316442","290 W Pennsylvania Ave Southern Pines, NC 28387"
Mexican,4.5,Fiesta Grill,(919) 928-9002,"35.889287,-79.446958","3307 Nc Hwy 54 W Chapel Hill, NC 27516"
American (Traditional),4.5,Yesterdays Grill,(336) 376-1833,"35.9971175,-78.9036011","716 W Greensboro Chapel Hill Rd Snow Camp, NC 27349"
"Pizza,Salad,Soup",4.0,Pizzeria Toro,(919) 908-6936,"35.9107684230957,-79.0664899349213","105 E Chapel Hill St Durham, NC 27701"
Mexican,4.0,Carrburritos,(919) 933-8226,"precise_search_35.7174966,-79.1788772","711 Rosemary St Carrboro, NC 27510"
"Steakhouses,Lounges,American (Traditional)",4.0,The Flame Steakhouse,(919) 776-7111,"35.8194487078488,-78.8290286064148","109 Carbonton Rd Sanford, NC 27330"
"Cafes,Breakfast & Brunch,French",4.0,Belgian Cafe,(919) 372-5128,"35.3080182,-78.6092532","1232 W Williams St Apex, NC 27502"
"American (New),Music Venues",3.5,Pittsboro Roadhouse & General Store,(919) 542-2432,"35.7201690673828,-79.1780319213867","39 West St Pittsboro, NC 27312"
"Chicken Wings,Bars,Burgers",4.0,Wingin’ It Bar and Grille,(919) 762-0962,"36.100665,-79.508055","1625 N Main St Fuquay Varina, NC 27526"
Sandwiches,4.5,Nashers Sandwich House,(984) 269-5099,"35.4758844,-79.1879809","10630 Durant Rd Raleigh, NC 27614"
"American (New),Pubs,American (Traditional)",4.0,Crosstown Pub & Grill,(919) 650-2853,"35.7459177,-78.8730135","140 E Chatham St Cary, NC 27511"
"Bars,American (Traditional),Asian Fusion",4.5,Tangent Eat+Bar,(336) 524-6766,"precise_search_35.7174966,-79.1788772","116 W Lebanon Ave Elon, NC 27244"
"Thai,Chinese",4.5,Simply Asian,(336) 318-4736,"35.5969058,-78.7612846","1337 East Dixie Dr Asheboro, NC 27203"
"Vietnamese,Soup",4.0,Taste Vietnamese Cuisine,(919) 234-6385,"35.9061313,-78.5925459","152 Morrisville Sq Way Morrisville, NC 27560"
"Caterers,Delis,Sandwiches",4.5,Broad St Deli & Market,(910) 891-1002,"35.787221,-78.7797945","129 E Broad St Dunn, NC 28334"
"Pizza,Italian,Greek",5.0,Elizabeth’s Pizza of Siler City,(919) 663-5555,"36.038914,-78.928953","119 Siler Crossing Siler City, NC 27344"
"Italian,Cocktail Bars",4.0,Gocciolina,(919) 973-4089,"36.0833769,-79.4267933","3314 Guess Rd Durham, NC 27705"
"Southern,Breakfast & Brunch,Burgers",4.5,The Old Sharkey’s Grill,(336) 227-4493,"35.9973276145175,-78.9011884153442","203 S Anthony St Burlington, NC 27215"
"Sushi Bars,Seafood,Japanese",4.5,M Sushi,(919) 908-9266,"35.9047788950879,-78.9438108114372","311 Holland St Durham, NC 27701"
"Steakhouses,Seafood,Wine Bars",4.0,Firebirds Wood Fired Grill,(919) 544-6332,"35.104075,-78.994219","8030 Renaissance Pkwy Durham, NC 27713"
"Laotian,Thai",5.0,2 Rim Khong Restaurant,(910) 745-9498,"35.6166693,-78.7339234","6451 Yadkin Rd Fayetteville, NC 28303"
Sushi Bars,4.0,Kumo Sushi,(919) 986-0983,"35.7891987764008,-78.6391490079346","2916 N Main St Fuquay Varina, NC 27526"
"Breweries,Pubs,American (New)",4.0,Oak & Dagger Public House,(919) 945-9382,"35.6159768,-78.8098677","18 Seaboard Ave Raleigh, NC 27604"
"American (Traditional),Sports Bars,Sandwiches",4.0,Triple Barrel Tavern,(919) 762-0940,"35.7457955,-78.818745","2221 N Grassland Dr Fuquay Varina, NC 27526"
"Peruvian,Salad,Sandwiches",4.5,Marco Pollo,(919) 694-5524,"precise_search_35.7174966,-79.1788772","1871 Lake Pine Dr Cary, NC 27511"
"American (New),Italian,Mexican",4.0,David’s Restaurant,(336) 683-0000,"35.7197174521983,-79.1690817944938","709 S Fayetteville St Asheboro, NC 27203"
"Italian,Pizza",3.0,Bella Donna,(919) 545-0900,"36.0743107,-79.4909709","440 East St Pittsboro, NC 27312"
Indian,4.5,Taaza Bistro,(336) 524-0488,"35.746238502613,-78.884497531985","3252 S Church St Burlington, NC 27215"
Asian Fusion,4.0,Sushi Iwa,(919) 387-7022,"35.0666067497987,-78.9679058853882","2026 Creekside Landing Dr Apex, NC 27502"
"Barbeque,American (Traditional),Sandwiches",4.5,Mission BBQ,(910) 491-9500,"35.996428,-78.903126","1932 Skibo Rd Fayetteville, NC 28314"
Sandwiches,4.0,Toast,(919) 683-2183,"35.778182,-78.640537","345 W Main St Durham, NC 27701"
"American (New),Desserts,Cocktail Bars",3.5,Death & Taxes,(984) 242-0218,"35.907152,-79.307152","105 W Hargett St Raleigh, NC 27601"
Mexican,4.0,Ulvias Restaurant,(336) 376-5425,"35.8090604,-78.6551968","3908 E Greensboro Chapel Hill Rd Graham, NC 27253"
"Southern,American (New),Breakfast & Brunch",4.5,Mandolin,(919) 322-0365,"35.2512351235225,-79.0277796238661","2519 Fairview Rd Raleigh, NC 27608"
"Italian,Wine Bars,American (New)",3.5,The Twisted Grape,(910) 568-0674,"precise_search_35.7174966,-79.1788772","54 Melody Ln Cameron, NC 28326"
"American (New),French,Seafood",4.5,Chef Warren’s,(910) 692-5240,"36.0632534,-79.8235314","215 NE Broad St Southern Pines, NC 28387"
"Sandwiches,American (New),Wine Bars",4.5,Melt Kitchen And Bar,(336) 617-4664,"35.9134697,-78.7793657","2270 Golden Gate Dr Greensboro, NC 27405"
"Ramen,Bubble Tea,Sushi Bars",4.5,Umami,(910) 867-1039,"35.174461,-79.390206","6031 Yadkin Rd Fayetteville, NC 28303"
American (New),4.5,Wolcott’s Restaurant,(910) 695-1551,"36.1035862,-79.7842338","160 W Pennsylvania Ave Southern Pines, NC 28387"
"Southern,Cocktail Bars,Whiskey Bars",4.5,913 Whiskey Bar & Southern Kitchen,(336) 617-4291,"35.096628,-78.9887607","913 S Chapman St Greensboro, NC 27403"
"Breakfast & Brunch,American (Traditional)",4.5,Grill Worx,(919) 563-2333,"35.1746434,-79.3930296","528 W Center St Mebane, NC 27302"
"Burgers,Ice Cream & Frozen Yogurt,Diners",4.0,Dairy Bar Fairview,(919) 775-5721,"precise_search_35.7174966,-79.1788772","109 Carbonton Rd Sanford, NC 27330"
"Mediterranean,Gluten-Free,Vegetarian",4.5,Sassool,(919) 300-5586,"36.0983132991138,-79.2766498568768","1347 Kildaire Farms Rd Cary, NC 27511"
"Vietnamese,Asian Fusion,Sandwiches",4.0,PhoXpress,(919) 400-4100,"35.4760592,-79.1880292","7841 Alexander Pl Raleigh, NC 27617"
"American (Traditional),Pizza,Sandwiches",4.0,Wakefield Tavern,(919) 554-0673,"35.7597648732789,-78.7818263961119","13200 Falls Of Neuse Rd Raleigh, NC 27614"
"Italian,American (Traditional),Pizza",4.0,Da Vinci’s Table,(336) 270-6503,"35.535662,-78.580557","2260 S Church St Burlington, NC 27215"
Barbeque,4.0,Stephenson’s Bar-B-Q,(919) 894-4530,"35.8991189470065,-78.7636871643486","11964 Nc 50 Hwy N Willow Spring, NC 27592"
"Steakhouses,Lounges,American (Traditional)",4.0,The Angus Barn,(919) 781-2444,"35.8200231,-78.8287764","9401 Glenwood Ave Raleigh, NC 27617"
"Chinese,Thai",4.0,C&T Wok,(919) 467-8860,"35.126267,-79.423193","130 Morrisville Sq Way Morrisville, NC 27560"
Seafood,4.5,The House of Fish,(910) 944-0826,"35.5156561192593,-78.5556001272706","9671 Nc Hwy 211 E Aberdeen, NC 28315"
"Barbeque,Sandwiches",4.5,The Redneck BBQ Lab,(919) 938-8334,"36.0696216475102,-79.7907111607125","12101- B Nc Hwy 210 Benson, NC 27504"
American (New),4.5,1618 Downtown,(336) 312-4143,"36.0567846,-79.9046427","312 S Elm St Greensboro, NC 27401"
Indian,4.5,Taaza Bistro,(336) 285-7878,"35.7232119,-78.642321","1216-M Bridford Pkwy Greensboro, NC 27407"
"Bars,American (Traditional)",4.0,Locked & Loaded Bar & Grill,(919) 661-6688,"35.8583984,-78.6824095","305 McCormick St Garner, NC 27529"
"Southern,Cafes,Burgers",4.0,Relish Craft Kitchen & Bourbon Bar,(919) 787-1855,"precise_search_35.7174966,-79.1788772","5625 Creedmoor Rd Raleigh, NC 27612"
"Chinese,Thai",4.0,Sawaddee Thai & Chinese Restaurant,(910) 436-5757,"35.7890651,-78.6758784","1006 N Bragg Blvd Spring Lake, NC 28390"
"Sushi Bars,Thai,Cocktail Bars",4.0,Mama Jee,(919) 307-8403,"35.4512899,-79.1350626","105 Friendly Dr Raleigh, NC 27607"
"Seafood,Mexican,Southern",3.5,Aye! Toro Fire Grill & Cantina,(919) 777-0280,"35.1702826136729,-79.3971960721544","3064 S Horner Blvd Sanford, NC 27332"
Italian,4.5,Curt’s Cucina,(910) 725-1868,"36.009727,-78.9224296","515 SE Broad St Southern Pines, NC 28387"
"Tapas/Small Plates,Asian Fusion,Bars",4.0,Juju Asian Tapas + Bar,(919) 286-3555,"36.0855067,-79.1007451","737 9th St Durham, NC 27705"
"Burgers,Chicken Wings,American (Traditional)",4.0,Jay’s Chicken Shack,(919) 732-3591,"35.9750729,-78.5095004","646 N Churton St Hillsborough, NC 27278"
"Pubs,Burgers,Sandwiches",4.0,Over the Falls,(919) 570-8588,"35.6619901,-78.8484393","419 S Brooks St Wake Forest, NC 27587"
"Breakfast & Brunch,Donuts",3.5,Rise Biscuits Donuts,(919) 586-7343,"36.0069778,-78.9468757","169 Grand Hill Pl Holly Springs, NC 27540"
"Cideries,Sandwiches",4.0,Black Twig Cider House,(919) 321-0203,"35.0690735558839,-79.0132699135956","2812 Erwin Rd Durham, NC 27705"
Mexican,4.5,Taqueria Las Delicias,(910) 835-1301,"precise_search_35.7174966,-79.1788772","524 South Reilly Rd Fayetteville, NC 28314"
Barbeque,4.0,City Barbeque,(919) 237-9509,"35.9112672290554,-78.9373550195739","208 W Nc Hwy 54 Durham, NC 27713"
"Mediterranean,Turkish",4.5,Istanbul Restaurant,(919) 651-9608,"35.7734988,-78.782088","914 Kildaire Farm Rd Cary, NC 27511"
"Italian,Pizza",4.0,La Piazza Italian Restaurant,(919) 662-5007,"35.59135688466,-78.601146331239","7277 Nc Hwy 42 Raleigh, NC 27603"
Southern,4.0,Driftwood Southern Kitchen,(919) 977-8360,"35.8951072692871,-78.6215591430664","8460 Honeycutt Rd Raleigh, NC 27615"
"Breweries,American (New)",3.0,Carolina Brewery & Grill,(919) 545-2330,"35.7435757,-79.1647675","120 Lowes Dr Pittsboro, NC 27312"
Southern,4.5,The Old Place Catering and Events,(919) 837-5131,"35.645992,-79.386037","289 Elmer Moore Rd Bear Creek, NC 27207"
"Burgers,American (Traditional),Cheesesteaks",4.5,Hwy 55 Burgers Shakes & Fries,(919) 542-1312,"precise_search_35.7174966,-79.1788772","987 East St Pittsboro, NC 27312"
"American (New),Wine Bars,Seafood",4.5,Elliott’s On Linden,(910) 215-0775,"35.1885577724019,-79.5010229447746","905 Linden Rd Pinehurst, NC 28374"
"Indian,Himalayan/Nepalese",5.0,Bowl and Naan,(336) 395-3914,"36.0813096,-79.5064978","3243 S Church St Burlington, NC 27215"
"American (Traditional),Coffee & Tea,Bakeries",4.0,Main Street Grille - Cafe & Bakery,(919) 554-1564,"35.9608931,-78.5194088","1318 S Main St Wake Forest, NC 27587"
"American (New),Mexican",4.0,Jose and Sons,(919) 755-0556,"36.0867039,-79.1020718","327 W Davie St Raleigh, NC 27601"
"Sandwiches,Bagels,Breakfast & Brunch",4.0,Bagels Plus,(919) 285-4980,"36.070604,-79.4099619","100 Dickens Rd Fuquay-Varina, NC 27526"
Mexican,4.5,Taqueria Michoacan,(919) 245-1084,"35.1681983,-79.4005049","117 Cornelius St Hillsborough, NC 27278"
Chinese,4.5,Shanghai Restaurant,(336) 228-0819,"35.9142821,-79.0535403","500 W Elm St Graham, NC 27253"
"Gastropubs,British",4.0,The Sly Fox,(910) 725-1621,"35.1950567,-79.4697588","795 SW Broad St Southern Pines, NC 28387"
"Mediterranean,Greek",4.0,Grk Yeero,(919) 240-7622,"35.7373991,-79.4673951","169 E Franklin St Chapel Hill, NC 27514"
"American (Traditional),Pubs,Cocktail Bars",4.0,Drum & Quill Public House,(910) 295-3193,"35.5187969,-79.1806344","40 Chinquapin Rd Pinehurst, NC 28374"
"Hot Dogs,Burgers,American (Traditional)",4.0,Chris’drive-In,(919) 663-2333,"35.4441284,-79.2158764","1329 N 2nd Ave Siler City, NC 27344"
Italian,4.5,La Montesina,(919) 708-5554,"35.7751687442644,-78.6447423100471","2555 Hawkins Ave Sanford, NC 27330"
Steakhouses,4.0,Davison’s Steaks,(919) 718-1103,"precise_search_35.7174966,-79.1788772","1724 Westover Dr Sanford, NC 27330"
"Indian,Seafood,Buffets",4.5,Dharani Express,(919) 821-7991,"35.994841,-78.89987","3281 Avent Ferry Rd Raleigh, NC 27606"
"Wine Bars,Tapas/Small Plates,Beer, Wine & Spirits",5.0,Bar Brunello,(919) 294-4825,"35.9788545,-78.5094515","117 E Main St Durham, NC 27701"
Cafes,4.5,The Lemon Tree,(919) 946-2302,"35.7914384,-78.7656813","113 S White St Wake Forest, NC 27587"
Mexican,4.0,Esmeralda Grill,(919) 377-2455,"36.0648134,-79.6077281","748 E Chatham St Cary, NC 27511"
Mexican,4.0,Wholly Guacamole Mexican Grill,(336) 446-6500,"36.0248767,-79.8759482","6307 Burlington Rd Whitsett, NC 27377"
"Sandwiches,Middle Eastern,Italian",5.0,Jerusalem Market,(336) 547-0220,"35.993937,-79.935966","5002 High Point Rd Greensboro, NC 27407"
"Seafood,Live/Raw Food",4.5,The Full Moon Oyster Bar,(336) 307-2887,"35.910125,-79.0720852","103 W Main St Jamestown, NC 27282"
"Delis,Sandwiches",4.5,Neal’s Deli,(919) 967-2185,"35.4928849,-78.5827345","100 E Main St Carrboro, NC 27510"
"Seafood,Steakhouses,Wine Bars",4.0,Lane’s Seafood and Steak House,(919) 894-7700,"35.9140683,-78.782105","275 Bowling Spring Dr Angier, NC 27501"
Persian/Iranian,4.0,Flame Kabob,(919) 596-2525,"precise_search_35.7174966,-79.1788772","7961 Skyland Ridge Pkwy Raleigh, NC 27617"
"Mexican,Spanish",4.5,El Charro Grande,(910) 230-1086,"36.0970039,-79.2682093","1011 E Cumberland St Dunn, NC 28334"
Burgers,4.5,Bad Daddy’s Burger Bar,(919) 747-9163,"35.300813,-78.599609","111 Seaboard Ave Raleigh, NC 27604"
Mexican,4.0,El Molcajete Restaurant,(919) 708-6853,"35.7885257790867,-78.6398015538498","2741 Lee Ave Sanford, NC 27332"
